STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160101,0,0,0,-9999,42,34,7.6,290,300,17,25.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160102,0,0,0,-9999,40,32,6.7,290,270,15,23,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160103,0,0,0,-9999,45,35,7.8,270,240,17,25.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160104,0,0,0,-9999,36,14,8.5,40,40,21,31.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160105,0,0,0,-9999,29,11,5.1,10,20,19.9,30,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160106,0,0,0,-9999,41,25,3.6,250,250,13,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160107,0,0,0,-9999,46,31,2.5,260,-9999,6.9,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160108,0,0,0,-9999,46,31,4.3,80,80,14.1,21,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160109,0,0,0,-9999,47,40,8.1,70,80,15,19.9,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160110,1.8,0,0,-9999,59,40,9.8,280,290,21.9,35.1,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160111,0,0,0,-9999,40,26,10.5,280,280,19.9,35.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160112,0,0,0,-9999,44,25,6,290,280,21.9,35.1,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160113,0,0,0,-9999,30,22,9.8,280,260,21,35.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160114,0,0,0,-9999,38,22,4.9,260,280,15,23,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160115,0,0,0,-9999,51,34,5.1,170,170,12.1,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160116,0.24,0,0,-9999,52,42,6.7,310,270,15,21.9,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160117,0.05,0,0.4,-9999,42,30,5.6,60,10,13,19,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160118,0,0,0,-9999,31,18,11.9,290,280,21.9,35.1,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160119,0,0,0,-9999,28,16,11,280,280,19.9,34,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160120,0,0,0,-9999,37,27,5.6,310,290,14.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160121,0,0,0,-9999,36,26,6,310,10,15,23,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160122,0.01,0,0.2,-9999,30,21,6.5,50,30,16.1,21.9,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160123,2.31,5.9,27.3,-9999,27,24,15.7,30,40,25.1,42.9,1,-9999,1,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160124,0,22,0,-9999,35,20,5.8,10,20,17,28,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160125,0,18.9,0,-9999,39,28,3.4,190,180,8.9,17,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160126,0,16.9,0,-9999,48,38,6.5,230,250,16.1,29.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160127,0,9.1,0,-9999,47,34,6.7,290,320,15,25.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160128,0,5.9,0,-9999,42,32,4.5,250,260,14.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160129,0,5.9,0,-9999,41,30,7.8,310,320,17,32,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160130,0,5.9,0,-9999,39,28,6.9,240,250,16.1,25.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160131,0,3.9,0,-9999,56,36,5.1,250,240,14.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160201,0.01,2,0,-9999,59,44,5.8,250,260,14.1,21,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160202,0,0,0,-9999,50,38,3.6,170,20,12.1,17,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160203,0.73,0,0,-9999,59,42,6.5,180,170,18.1,30,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160204,0,0,0,-9999,59,44,5.8,20,20,14.1,21,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160205,0.53,1.2,2.5,-9999,44,31,8.3,310,300,17,29.1,1,-9999,1,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160206,0,0,0,-9999,40,30,5.6,250,240,14.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160207,0,0,0,-9999,47,33,5.4,60,90,18.1,25.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160208,0.05,0,0.1,-9999,39,28,10.5,60,40,21,31.1,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160209,0,0,0,-9999,36,27,4,60,60,14.1,19,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160210,0.01,0,0,-9999,39,31,5.8,250,240,16.1,23.9,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160211,0,0,0,-9999,31,18,10.1,290,290,19.9,36.9,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160212,0,0,0,-9999,27,15,6.7,290,300,15,27.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160213,0,0,0,-9999,22,6,12.3,290,290,23,40,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160214,0,0,0,-9999,15,-1,6.3,310,300,19.9,33.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160215,0.44,0,1.4,-9999,35,13,5.4,60,60,12.1,17,1,1,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160216,1.01,0,0,-9999,54,35,7.8,170,170,18.1,40,1,-9999,1,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160217,0,0,0,-9999,39,35,7.4,320,310,14.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160218,0,0,0,-9999,36,27,7.2,30,300,15,23,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160219,0,0,0,-9999,39,24,5.4,170,180,14.1,23,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160220,0,0,0,-9999,61,39,7.4,240,240,16.1,30,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160221,0.03,0,0,-9999,55,44,4.9,60,40,14.1,21,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160222,0,0,0,-9999,52,38,5.1,70,80,16.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160223,0.3,0,0,-9999,40,35,14.5,70,60,23.9,36,1,-9999,-9999,1,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160224,1.22,0,0,-9999,60,36,10.5,180,190,21,36.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160225,0.02,0,0,-9999,61,37,8.9,260,250,19.9,36,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160226,0,0,0,-9999,39,27,8.7,290,290,21.9,34,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160227,0,0,0,-9999,41,26,6,250,250,15,23.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160228,0,0,0,-9999,60,38,7.4,230,200,17,31.1,-9999,-9999,-9999,-9999,-9999
